Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/input/us-quality-core.xml	48869	-	0	0	0	0	0	0	8	28	0	0	0	0	0	0	0	1	0	0	441	1000	0	0	0	12	0	2
input/profiles/StructureDefinition-us-quality-core-adverseevent.json	11149	2	0	12	1	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	255	1416	0	0	0	5	1	1
input/profiles/StructureDefinition-us-quality-core-allergyintolerance.json	6676	1	0	12	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	216	227	0	0	0	6	0	0
input/profiles/StructureDefinition-us-quality-core-bodystructure.json	2632	0	0	9	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	80	323	0	1	0	1	0	1
input/profiles/StructureDefinition-us-quality-core-careplan.json	6453	1	0	14	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	219	372	0	0	0	7	1	1
input/profiles/StructureDefinition-us-quality-core-careteam.json	3936	0	0	9	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	104	155	0	0	0	2	0	0
input/profiles/StructureDefinition-us-quality-core-claim.json	8831	1	0	25	0	0	0	0	0	35	0	0	0	0	0	0	0	3	0	0	427	361	0	0	0	7	0	2
input/profiles/StructureDefinition-us-quality-core-claimresponse.json	14535	1	0	38	0	0	0	0	1	26	0	0	1	0	0	0	0	4	0	0	421	534	0	0	0	13	1	1
input/profiles/StructureDefinition-us-quality-core-communication.json	4692	0	0	9	0	0	0	0	0	7	0	0	0	0	0	0	0	2	0	0	129	161	0	0	0	3	0	1
input/profiles/StructureDefinition-us-quality-core-communicationnotdone.json	4925	1	0	11	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	137	148	0	0	0	3	0	0
input/profiles/StructureDefinition-us-quality-core-communicationrequest.json	4824	0	0	7	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	129	141	0	0	0	3	0	0
input/profiles/StructureDefinition-us-quality-core-condition-encounter-diagnosis.json	5668	1	0	9	1	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	170	231	0	0	0	3	0	1
input/profiles/StructureDefinition-us-quality-core-condition-problems-health-concerns.json	6790	0	0	10	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	201	147	0	0	0	3	1	1
input/profiles/StructureDefinition-us-quality-core-coverage.json	12059	1	0	15	0	0	0	0	0	11	0	0	0	0	0	0	0	4	0	0	258	220	0	0	0	5	0	0
input/profiles/StructureDefinition-us-quality-core-device.json	2102	0	0	35	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	159	152	0	0	0	6	0	1
input/profiles/StructureDefinition-us-quality-core-devicenotrequested.json	5779	1	0	17	0	0	0	0	0	12	0	0	1	0	0	0	0	1	0	0	170	151	0	0	0	3	0	1
input/profiles/StructureDefinition-us-quality-core-devicerequest.json	3794	0	0	9	0	0	0	0	0	7	0	0	0	0	0	0	0	3	0	0	143	124	0	0	0	3	0	0
input/profiles/StructureDefinition-us-quality-core-deviceusestatement.json	3417	1	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	90	90	0	0	0	2	1	1
input/profiles/StructureDefinition-us-quality-core-diagnosticreport-lab.json	8873	0	0	7	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	173	130	0	0	0	3	0	0
input/profiles/StructureDefinition-us-quality-core-diagnosticreport-note.json	9304	1	0	8	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	165	129	0	0	0	3	3	0
input/profiles/StructureDefinition-us-quality-core-encounter.json	17030	1	0	16	0	0	0	0	0	12	0	0	0	0	0	0	0	2	0	0	341	187	0	0	0	11	2	2
input/profiles/StructureDefinition-us-quality-core-familymemberhistory.json	4567	1	0	9	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	145	135	0	0	0	3	0	0
input/profiles/StructureDefinition-us-quality-core-flag.json	2788	0	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	75	87	0	0	0	3	1	0
input/profiles/StructureDefinition-us-quality-core-goal.json	4650	0	0	6	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	117	121	0	0	0	3	1	1
input/profiles/StructureDefinition-us-quality-core-imagingstudy.json	8918	1	0	11	0	0	1	0	1	14	0	0	1	0	0	0	0	4	0	0	193	203	0	1	0	4	1	0
input/profiles/StructureDefinition-us-quality-core-immunization.json	5530	1	0	10	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	189	164	0	0	0	5	1	1
input/profiles/StructureDefinition-us-quality-core-immunizationevaluation.json	5309	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	102	100	0	0	0	2	1	0
input/profiles/StructureDefinition-us-quality-core-immunizationnotdone.json	5963	1	0	10	0	0	0	0	0	14	0	0	0	0	0	0	0	2	0	0	203	190	0	0	0	3	0	1
input/profiles/StructureDefinition-us-quality-core-immunizationrecommendation.json	4832	0	0	6	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	126	140	0	0	0	3	0	0
input/profiles/StructureDefinition-us-quality-core-location.json	3414	1	0	8	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	143	181	0	0	0	3	0	1
input/profiles/StructureDefinition-us-quality-core-medication.json	3583	0	0	23	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	110	128	0	0	0	4	0	0
input/profiles/StructureDefinition-us-quality-core-medicationadministration.json	6099	1	0	9	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	0	163	268	0	0	0	3	1	1
input/profiles/StructureDefinition-us-quality-core-medicationadministrationnotdone.json	7175	0	0	9	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	192	215	0	0	0	4	0	0
input/profiles/StructureDefinition-us-quality-core-medicationdispense.json	10038	1	0	12	0	0	0	0	0	10	0	0	0	0	0	0	0	4	0	0	260	414	0	0	0	7	0	1
input/profiles/StructureDefinition-us-quality-core-medicationdispensedeclined.json	9613	1	0	29	1	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	263	289	0	0	0	14	0	1
input/profiles/StructureDefinition-us-quality-core-medicationnotrequested.json	12772	1	0	22	0	0	0	0	0	12	0	0	0	0	0	0	0	2	0	0	337	282	0	0	0	11	1	1
input/profiles/StructureDefinition-us-quality-core-medicationrequest.json	18658	1	0	19	0	0	0	0	0	14	0	0	1	0	0	0	0	9	0	0	426	372	0	0	0	8	0	1
input/profiles/StructureDefinition-us-quality-core-medicationstatement.json	6350	1	0	9	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	192	244	0	0	0	4	0	1
input/profiles/StructureDefinition-us-quality-core-nonpatient-observation.json	15610	1	0	12	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	306	239	0	0	0	8	0	0
input/profiles/StructureDefinition-us-quality-core-nutritionorder.json	2408	0	0	9	0	0	0	0	0	7	0	0	0	0	0	0	0	4	0	0	213	188	0	0	0	4	0	1
input/profiles/StructureDefinition-us-quality-core-observation-clinical-result.json	10056	1	0	10	0	0	0	0	0	19	0	0	0	0	0	0	0	3	0	0	264	253	0	0	0	11	1	1
input/profiles/StructureDefinition-us-quality-core-observation-lab.json	14007	1	0	10	0	0	0	0	0	13	0	0	1	0	0	0	0	1	0	0	287	684	0	0	0	5	0	1
input/profiles/StructureDefinition-us-quality-core-observation-screening-assessment.json	20503	1	0	10	0	0	0	0	1	13	0	0	0	0	0	0	0	2	0	0	340	833	0	0	0	8	0	1
input/profiles/StructureDefinition-us-quality-core-observationcancelled.json	11700	1	0	11	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	2	282	225	0	0	0	5	0	0
input/profiles/StructureDefinition-us-quality-core-organization.json	5045	1	0	14	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	216	236	0	0	0	8	0	1
input/profiles/StructureDefinition-us-quality-core-patient.json	25161	3	0	17	0	0	0	0	0	16	0	0	0	0	0	0	0	4	0	0	365	389	0	0	0	11	1	1
input/profiles/StructureDefinition-us-quality-core-practitioner.json	10168	3	0	13	0	0	0	0	0	10	0	0	1	0	0	0	0	6	0	0	288	353	0	0	0	7	0	2
input/profiles/StructureDefinition-us-quality-core-practitionerrole.json	8364	1	0	7	0	0	0	0	0	14	0	0	0	0	0	0	0	1	0	0	195	213	0	0	0	4	0	0
